부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,spearman_rho,p_value
0.2,0.05,0.25,0.05,0.3,0.15,-0.17432752039253283,0.0002809497741799651
0.25,0.05,0.05,0.05,0.5,0.1,-0.1742170850241113,0.0002835055649474552
0.35,0.05,0.25,0.1,0.2,0.05,-0.17401242968139502,0.00028829935773263355
0.2,0.05,0.15,0.05,0.4,0.15,-0.17391872177217796,0.00029051950991915317
0.35,0.15,0.1,0.05,0.3,0.05,-0.1739014822478958,0.00029092968738306
0.4,0.2,0.05,0.05,0.25,0.05,-0.17378933999588195,0.000293611095409451
0.25,0.05,0.3,0.05,0.2,0.15,-0.17366473749364436,0.0002966174840660929
0.55,0.1,0.05,0.05,0.2,0.05,-0.1735408177448437,0.0002996358749979047
0.3,0.2,0.2,0.05,0.2,0.05,-0.17327215426741635,0.0003062785897946213
0.65,0.05,0.15,0.05,0.05,0.05,-0.17322419083847282,0.0003074788471057534
0.25,0.05,0.4,0.1,0.15,0.05,-0.17313338463136266,0.0003097632491214861
0.2,0.1,0.05,0.05,0.5,0.1,-0.17308542120241918,0.0003109762412016817
0.35,0.2,0.1,0.05,0.25,0.05,-0.1730434318660487,0.00031204178534971423
0.45,0.1,0.2,0.05,0.15,0.05,-0.17298829952601752,0.00031344602619951087
0.4,0.05,0.35,0.05,0.1,0.05,-0.17298556851226987,0.0003135157391325261
0.25,0.15,0.05,0.05,0.45,0.05,-0.17281590428319565,0.00031787512739090285
0.35,0.1,0.25,0.1,0.15,0.05,-0.17273960658662005,0.0003198539102126803
0.3,0.05,0.35,0.1,0.1,0.1,-0.1727351686892801,0.00031996936004843944
0.4,0.05,0.15,0.1,0.25,0.05,-0.1724876705683972,0.0003264697846006314
0.2,0.2,0.35,0.05,0.15,0.05,-0.17246684658857117,0.00032702229682471254
0.25,0.2,0.15,0.05,0.3,0.05,-0.17225570508820418,0.00033267386636968597
0.35,0.05,0.25,0.05,0.2,0.1,-0.17194778328815405,0.00034107936165826306
0.4,0.1,0.1,0.1,0.25,0.05,-0.17192354554114345,0.0003417493277975457
0.25,0.1,0.3,0.1,0.15,0.1,-0.17188189758149142,0.00034290340313158273
0.2,0.2,0.15,0.05,0.35,0.05,-0.17174415207559315,0.0003467462955751448
0.3,0.1,0.05,0.1,0.35,0.1,-0.17168116807103745,0.00034851679570433846
0.25,0.05,0.45,0.1,0.1,0.05,-0.17165829583090067,0.0003491618244607695
0.25,0.1,0.15,0.1,0.3,0.1,-0.171467466245282,0.00035458701502928154
0.2,0.1,0.5,0.05,0.1,0.05,-0.17131231052674228,0.00035905580889435514
0.45,0.05,0.2,0.05,0.15,0.1,-0.17121911468260298,0.0003617652062069208
0.2,0.2,0.3,0.05,0.2,0.05,-0.17120016827472848,0.00036231834265625855
0.2,0.05,0.45,0.1,0.15,0.05,-0.17119794367948257,0.00036238334092373773
0.4,0.05,0.3,0.1,0.1,0.05,-0.17116944437006715,0.0003632169960433101
0.5,0.05,0.15,0.05,0.15,0.1,-0.17105337628579104,0.0003666306849141937
0.3,0.05,0.1,0.1,0.4,0.05,-0.17105047458368416,0.000366716408879754
0.25,0.15,0.35,0.05,0.15,0.05,-0.1710380143334604,0.0003670847299805738
0.35,0.05,0.05,0.05,0.45,0.05,-0.17094362367080643,0.0003698861033197618
0.4,0.1,0.05,0.1,0.3,0.05,-0.17088149310804687,0.00037174090075505357
0.3,0.05,0.05,0.05,0.5,0.05,-0.1707410165884009,0.0003759665654200648
0.3,0.1,0.05,0.1,0.4,0.05,-0.17070517203296273,0.00037705194522291187
0.3,0.1,0.1,0.1,0.3,0.1,-0.17068639631344742,0.0003776216416054426
0.55,0.05,0.15,0.05,0.1,0.1,-0.1706305812199794,0.00037931993138029464
0.25,0.05,0.15,0.1,0.35,0.1,-0.17058671431165737,0.00038065966254967267
0.2,0.25,0.1,0.05,0.35,0.05,-0.17053192334834466,0.00038233921330864433
0.45,0.15,0.15,0.05,0.15,0.05,-0.1704846426728381,0.00038379409013896516
0.25,0.15,0.15,0.1,0.3,0.05,-0.17047064622738128,0.0003842257637305385
0.2,0.15,0.2,0.05,0.3,0.1,-0.17042097591484545,0.00038576133084479284
0.25,0.05,0.05,0.1,0.45,0.1,-0.17041978109633085,0.00038579833917997054
0.2,0.15,0.25,0.05,0.25,0.1,-0.17039383646572798,0.00038660276459460903
0.2,0.05,0.2,0.05,0.35,0.15,-0.17038410722925185,0.0003869048266168815
0.3,0.05,0.1,0.1,0.35,0.1,-0.1703726711091835,0.0003872601629721382
0.2,0.05,0.4,0.1,0.15,0.1,-0.17032846282414302,0.0003886366366652797
0.25,0.1,0.35,0.1,0.1,0.1,-0.17025079962069356,0.0003910658039667455
0.3,0.05,0.45,0.05,0.1,0.05,-0.1702400462540621,0.00039140326234871585
0.25,0.05,0.1,0.1,0.45,0.05,-0.17022058778110993,0.00039201459067008754
0.2,0.1,0.3,0.05,0.25,0.1,-0.17018918112301168,0.000393003171901894
0.5,0.05,0.05,0.05,0.25,0.1,-0.17010417832011537,0.0003956904439500539
0.3,0.15,0.3,0.05,0.15,0.05,-0.16984916991142637,0.000403855260080782
0.2,0.05,0.05,0.05,0.6,0.05,-0.16979250137616214,0.00040569083555310224
0.25,0.1,0.4,0.1,0.1,0.05,-0.1695688996255714,0.0004130096602794812
0.45,0.1,0.1,0.1,0.2,0.05,-0.16954141879973542,0.0004139175805384524
0.4,0.15,0.05,0.05,0.3,0.05,-0.16952622753576402,0.000414420271239487
0.2,0.15,0.15,0.05,0.35,0.1,-0.16938506826268115,0.00041911858586806615
0.55,0.1,0.1,0.05,0.15,0.05,-0.16932669284382462,0.0004210759897382803
