변수그룹,변수,F통계량,p값,유의성,Eta²,효과크기
산업대비_비율(ratio_industry),차입금의존도_ratio_industry,409.3876,0.0,***,0.1693,대
산업대비_비율(ratio_industry),총자산회전율_ratio_industry,17.0419,0.0,***,0.0084,소
산업대비_비율(ratio_industry),자기자본회전율_ratio_industry,3.1489,0.023976,*,0.0016,소
산업대비_비율(ratio_industry),비유동자산회전율_ratio_industry,16.7879,0.0,***,0.0083,소
산업대비_비율(ratio_industry),유형자산회전율_ratio_industry,8.635,1e-05,***,0.0043,소
산업대비_비율(ratio_industry),재고자산회전율_ratio_industry,2.6717,0.045798,*,0.0013,소
산업대비_비율(ratio_industry),매출채권회전율_ratio_industry,23.6479,0.0,***,0.0116,소
산업대비_비율(ratio_industry),매입채무회전율_ratio_industry,11.8018,0.0,***,0.0058,소
산업대비_비율(ratio_industry),총자산증가율_ratio_industry,110.4391,0.0,***,0.0521,소
산업대비_비율(ratio_industry),유형자산증가율_ratio_industry,29.715,0.0,***,0.0146,소
산업대비_비율(ratio_industry),자기자본증가율_ratio_industry,17.7848,0.0,***,0.0088,소
산업대비_비율(ratio_industry),매출액증가율_ratio_industry,11.0419,0.0,***,0.0055,소
