통계표,업종코드,기업규모,계정항목,단위,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C201 기초화학물질","종합","매출원가","백만원","원자료","77,376,963","71,718,447","61,996,691","55,597,178","50,972,963","58,747,639","67,663,541","63,479,862","53,513,211","72,677,305","104,380,662","96,550,906","103,067,244"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C201 기초화학물질","종합","영업손익","백만원","원자료","3,046,775","2,739,080","1,645,474","4,472,742","7,809,218","10,076,534","8,419,966","5,000,912","3,732,692","8,686,811","5,456,029","2,123,045","1,113,208"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C202 합성고무 및 플라스틱 물질","종합","매출액","백만원","원자료","51,612,545","54,823,114","55,616,094","39,859,544","39,263,576","45,242,152","53,616,882","52,516,852","53,010,230","71,211,190","71,011,607","67,336,798","61,034,054"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C202 합성고무 및 플라스틱 물질","종합","매출원가","백만원","원자료","44,047,114","46,960,527","49,475,568","33,098,328","32,123,323","36,974,271","44,669,511","44,077,882","43,405,288","54,898,009","59,017,812","58,873,052","53,046,983"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C202 합성고무 및 플라스틱 물질","종합","영업손익","백만원","원자료","3,135,333","2,932,600","2,425,290","3,218,840","3,495,289","4,105,279","3,930,384","2,260,101","3,296,996","7,085,791","4,172,330","1,158,166","1,452,740"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C203 비료, 농약 및 살균, 살충제","종합","매출액","백만원","원자료","5,519,557","6,707,726","6,574,484","4,956,794","4,833,707","5,061,844","5,471,832","5,498,251","5,857,207","6,748,333","8,198,121","8,674,081","7,698,656"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C203 비료, 농약 및 살균, 살충제","종합","매출원가","백만원","원자료","4,579,744","5,538,968","5,343,084","3,776,478","3,711,610","3,845,430","4,211,303","4,200,037","4,315,027","5,133,315","6,450,998","6,883,202","5,976,848"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C203 비료, 농약 및 살균, 살충제","종합","영업손익","백만원","원자료","48,950","136,070","173,588","248,801","164,208","250,779","236,423","229,254","413,599","407,766","439,222","441,371","366,921"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C204 기타 화학제품","종합","매출액","백만원","원자료","36,743,217","30,857,200","33,683,104","45,627,361","49,804,663","50,728,624","56,680,554","50,354,535","52,205,815","57,806,528","68,949,821","70,491,352","74,775,985"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C204 기타 화학제품","종합","매출원가","백만원","원자료","27,025,771","21,271,143","22,803,139","31,388,507","33,359,022","34,735,579","39,946,787","33,781,641","35,760,421","40,179,792","49,975,178","51,633,403","53,355,986"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C204 기타 화학제품","종합","영업손익","백만원","원자료","2,322,171","2,371,652","2,772,873","4,155,263","4,932,836","4,259,275","4,183,463","3,788,699","3,611,899","4,090,935","4,641,538","4,381,541","5,262,838"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C205 화학섬유","종합","매출액","백만원","원자료","13,550,612","10,604,673","9,574,061","16,456,896","15,893,389","17,014,931","19,029,527","18,099,467","6,326,470","7,834,399","8,417,118","2,451,326","2,487,974"
