사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계,신용등급
1018151140,(주)사운드솔루션,2015,쇠퇴기,0,100.0,100.0,0.0,49.96,0.01,49.94,30.0,안정,
1018151140,(주)사운드솔루션,2016,성숙기,0,56.26,0.0,42.55,44.49,0.06,50.84,11.9,매우 안정,
1018151140,(주)사운드솔루션,2017,성숙기,0,34.84,0.0,47.46,35.74,0.06,48.91,10.8,매우 안정,
1018151140,(주)사운드솔루션,2018,성숙기,0,25.54,0.0,70.94,45.78,0.02,48.91,13.1,매우 안정,
1018151140,(주)사운드솔루션,2019,성숙기,0,56.69,0.0,63.92,47.57,0.04,47.43,14.0,매우 안정,
1018151140,(주)사운드솔루션,2020,조정기,0,0.0,29.0,67.03,56.57,0.04,50.51,17.9,매우 안정,
1018151140,(주)사운드솔루션,2021,조정기,0,77.37,31.7,70.41,61.62,0.03,49.42,22.8,매우 안정,
1018151140,(주)사운드솔루션,2022,성숙기,0,88.19,0.0,94.01,29.95,0.03,51.3,17.9,매우 안정,
1018151140,(주)사운드솔루션,2023,성숙기,0,62.46,0.0,94.68,45.3,0.03,47.78,17.3,매우 안정,
1018151140,(주)사운드솔루션,2024,도입기,0,77.47,100.0,100.0,51.59,0.03,48.8,38.9,안정,
1018152964,주식회사롯데닷컴,2015,성장기,0,100.0,0.0,0.0,47.43,29.32,43.07,25.7,매우 안정,
1018152964,주식회사롯데닷컴,2016,성숙기,0,56.26,0.0,42.55,49.13,37.21,55.16,32.7,안정,
1018152964,주식회사롯데닷컴,2017,성숙기,0,34.84,0.0,47.46,38.95,38.35,49.35,32.0,안정,
1018153885,고진모터스,2015,도입기,0,100.0,75.7,0.0,50.06,0.38,49.74,25.3,매우 안정,
1018153885,고진모터스,2016,도입기,0,56.26,80.6,42.55,46.98,1.0,51.15,28.6,매우 안정,
1018153885,고진모터스,2017,성숙기,0,34.84,0.0,47.46,34.0,12.25,54.86,17.7,매우 안정,
1018153885,고진모터스,2018,조정기,0,25.54,30.2,70.94,40.45,35.38,61.28,39.0,안정,
1018153885,고진모터스,2019,성장기,0,56.69,0.2,63.92,22.18,36.77,48.15,33.0,안정,
1018153885,고진모터스,2020,성숙기,0,0.0,0.0,67.03,49.69,0.08,30.92,10.8,매우 안정,
1018153885,고진모터스,2021,쇠퇴기,0,77.37,100.0,70.41,45.88,11.91,55.49,42.5,중립,
1018153885,고진모터스,2022,성숙기,0,88.19,0.0,94.01,19.49,18.23,54.71,27.5,매우 안정,
1018153885,고진모터스,2023,도입기,1,62.46,100.0,94.68,34.94,39.04,59.32,58.8,위험,
1018155791,비멕스트레이딩(주),2019,조정기,0,56.69,30.1,63.92,48.47,0.1,47.42,20.1,매우 안정,
1018155791,비멕스트레이딩(주),2020,조정기,0,0.0,29.0,67.03,56.82,0.73,50.84,18.3,매우 안정,
1018155791,비멕스트레이딩(주),2021,조정기,0,77.37,31.7,70.41,59.96,0.26,49.19,22.8,매우 안정,
1018155791,비멕스트레이딩(주),2022,조정기,0,88.19,34.7,94.01,30.9,0.05,51.19,24.9,매우 안정,
1018155791,비멕스트레이딩(주),2023,쇠퇴기,0,62.46,96.6,94.68,46.16,0.1,47.8,36.7,안정,
1018155791,비멕스트레이딩(주),2024,성숙기,0,77.47,0.0,100.0,53.06,22.09,60.54,31.7,안정,
1018156562,(주)투아이소프트,2015,성장기,0,100.0,0.0,0.0,49.96,0.04,49.94,10.0,매우 안정,
