부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,spearman_rho,p_value
0.3,0.05,0.4,0.15,0.05,0.05,0.2445476959454878,9.056001370234554e-63
0.2,0.05,0.35,0.1,0.15,0.15,0.24446668908454577,9.96712008065941e-63
0.25,0.05,0.25,0.05,0.05,0.35,0.2444488852939349,1.0179297796230225e-62
0.25,0.15,0.35,0.1,0.1,0.05,0.2442419703252202,1.300116614114805e-62
0.2,0.05,0.35,0.05,0.15,0.2,0.24421853298077786,1.3366342284012248e-62
0.3,0.05,0.3,0.05,0.2,0.1,0.24420179129592812,1.3633432394914474e-62
0.45,0.05,0.25,0.1,0.1,0.05,0.24418902679246857,1.3840638239050626e-62
0.45,0.05,0.2,0.05,0.15,0.1,0.24406883819411054,1.5952166152415988e-62
0.25,0.15,0.35,0.1,0.05,0.1,0.24406648693297517,1.5996525234763866e-62
0.35,0.2,0.3,0.05,0.05,0.05,0.24402240465584285,1.6851307147348407e-62
0.4,0.1,0.25,0.05,0.15,0.05,0.24397095170706914,1.790671240204285e-62
0.25,0.1,0.35,0.1,0.15,0.05,0.24396337383219002,1.8067616056627188e-62
0.2,0.05,0.35,0.05,0.2,0.15,0.24393320799532442,1.8722542047256124e-62
0.35,0.05,0.3,0.1,0.15,0.05,0.24389276907545385,1.9637749939879476e-62
0.3,0.05,0.35,0.15,0.05,0.1,0.24375557634141895,2.3087718110750727e-62
0.4,0.05,0.25,0.1,0.1,0.1,0.24371723194666386,2.4155634726145554e-62
0.2,0.2,0.35,0.05,0.05,0.15,0.24366707186707845,2.5627242781769187e-62
0.2,0.05,0.3,0.05,0.1,0.3,0.2436657636229415,2.5666796269021902e-62
0.2,0.05,0.4,0.15,0.15,0.05,0.24365162308411922,2.6098221995774942e-62
0.3,0.2,0.3,0.05,0.05,0.1,0.24365161117916037,2.609858824061526e-62
0.3,0.05,0.35,0.1,0.15,0.05,0.24348444639154976,3.1780556933924503e-62
0.45,0.1,0.25,0.1,0.05,0.05,0.24342562309724428,3.4060260515195093e-62
0.4,0.1,0.25,0.1,0.05,0.1,0.24331999114628297,3.8570505149300368e-62
0.35,0.05,0.3,0.05,0.2,0.05,0.24326774703255016,4.101634296538402e-62
0.2,0.15,0.35,0.1,0.05,0.15,0.24320555628809706,4.412999103081746e-62
0.6,0.05,0.15,0.05,0.1,0.05,0.24316790557140036,4.612829319362101e-62
0.35,0.1,0.25,0.1,0.05,0.15,0.24316734558009964,4.615868491803106e-62
